,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,mujoco,google-deepmind/mujoco,simulators,"Multi-Joint dynamics with Contact (MuJoCo) is a physics engine for fast, accurate robot simulation and optimization.",https://github.com/google-deepmind/mujoco,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-03-19 17:00:29,2026-03-19 16:59:50,4369.0,488.0,1369.0,119.0,498.0,152.0,1680.0,12426.0,2026-03-11 01:53:34,3.6.0,931239.0,17570.0,45.0,5248.0,5248.0,111.0,38,True,1.0,,,
1,rerun,rerun-io/rerun,libraries-frameworks,An SDK for logging computer vision and robotics data paired with a visualizer for exploring that data over time.,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2026-03-19 16:23:55,2026-03-19 15:50:27,8404.0,901.0,683.0,71.0,8200.0,1313.0,3039.0,10382.0,2026-03-11 12:40:02,0.30.2,245262.0,6628.0,68.0,272.0,272.0,151.0,37,True,1.0,"['mit', 'apache']",3.0,
2,open3d,isl-org/Open3D,libraries-frameworks,An open-source library that supports rapid development of software that deals with 3D data.,https://github.com/isl-org/Open3D,https://github.com/isl-org/Open3D,,2016-12-02 16:40:38,2026-03-18 19:02:42,2026-03-12 20:49:29,4230.0,19.0,2446.0,199.0,2854.0,1286.0,2799.0,13402.0,2025-01-08 07:31:27,0.19.0,742999.0,7659.0,23.0,14936.0,14936.0,279.0,34,False,1.0,"['cpp', 'python', 'mit']",,
3,ardupilot,ArduPilot/ardupilot,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot,GPL-3.0,2013-01-09 00:58:52,2026-03-18 23:00:51,2026-03-18 23:00:51,71310.0,901.0,19540.0,674.0,24942.0,1612.0,5921.0,14696.0,2025-11-20 05:47:48,Plane-4.6.3,,,86.0,,,1284.0,33,True,1.0,,,
4,px4,PX4/PX4-Autopilot,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,https://github.com/PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,BSD-3-Clause,2012-08-04 21:19:36,2026-03-19 17:33:34,2026-03-19 11:12:53,49077.0,758.0,14142.0,474.0,18290.0,1117.0,7376.0,11313.0,2026-01-21 17:58:32,1.16.1,9593.0,82.0,100.0,,,1066.0,33,True,1.0,,-2.0,
5,lerobot,huggingface/lerobot,libraries-frameworks,"Developed by Hugging Face, LeRobot provides models, datasets and tools for real-world robotics in PyTorch.",https://github.com/huggingface/lerobot,https://github.com/huggingface/lerobot,Apache-2.0,2024-01-26 15:50:41,2026-03-19 14:38:22,2026-03-18 12:24:07,1336.0,178.0,3806.0,147.0,2007.0,329.0,839.0,22484.0,2026-03-09 11:19:04,0.5.0,698.0,99.0,8.0,226.0,226.0,197.0,32,True,1.0,"['python', 'apache']",3.0,
6,airsim,microsoft/AirSim,simulators,"A simulator for drones, cars and more, built on Unreal Engine and made by Microsoft.",https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,,2017-02-14 00:52:29,2026-03-15 23:17:10,2026-03-15 23:17:09,3562.0,1.0,4505.0,579.0,917.0,681.0,2732.0,18036.0,2022-07-18 20:11:48,1.8.1,680159.0,6668.0,30.0,439.0,439.0,244.0,30,False,2.0,['mit'],,
7,dora,dora-rs/dora,middleware,Middleware designed to streamline and simplify the creation of AI-based robotic applications.,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2026-03-18 19:16:35,2026-03-18 14:42:48,4635.0,378.0,328.0,37.0,1037.0,81.0,225.0,3057.0,2026-01-20 19:20:05,0.4.1,6452.0,161.0,67.0,54.0,54.0,82.0,30,True,1.0,['apache'],,
8,webots,cyberbotics/webots,simulators,"Free and open source simulator that includes a large collection of robots, sensors, actuators and objects models.",https://github.com/cyberbotics/webots,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-03-18 23:21:17,2026-03-11 11:32:17,15740.0,10.0,1911.0,73.0,4689.0,239.0,1662.0,4209.0,2025-02-04 12:36:33,R2025a,1821840.0,20940.0,17.0,,,141.0,28,True,2.0,,,
9,open-mct,nasa/openmct,gui-tools,Open MCT (Open Mission Control Technologies) is a next-generation mission control framework for visualization of data..,https://github.com/nasa/openmct,https://github.com/nasa/openmct,,2015-06-02 18:40:28,2026-03-19 06:40:13,2026-03-18 23:26:19,8101.0,13.0,1366.0,272.0,4195.0,912.0,2958.0,12842.0,2025-02-04 21:39:34,4.1.0,810.0,6.0,66.0,177.0,177.0,107.0,27,False,1.0,['apache'],,
10,plotjuggler,facontidavide/PlotJuggler,ros,"QT5 based application to display time series in plots, using an intuitive drag and drop interface.",https://github.com/facontidavide/PlotJuggler,https://github.com/facontidavide/PlotJuggler,MPL-2.0,2016-03-01 21:05:42,2026-03-18 15:05:40,2026-03-18 15:05:40,2696.0,132.0,715.0,90.0,462.0,140.0,646.0,5777.0,2026-03-10 18:26:10,3.16.0,94769.0,809.0,85.0,,,143.0,26,True,1.0,['ros'],,
