,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,mujoco,google-deepmind/mujoco,simulators,"Multi-Joint dynamics with Contact (MuJoCo) is a physics engine for fast, accurate robot simulation and optimization.",https://github.com/google-deepmind/mujoco,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-06-11 18:33:11,2026-06-11 18:32:09,4889.0,550.0,1556.0,130.0,586.0,162.0,1695.0,13833.0,2026-05-27 14:46:14,3.9.0,1064439.0,19007.0,49.0,5478.0,5478.0,117.0,38,True,1.0,,,
1,rerun,rerun-io/rerun,libraries-frameworks,An SDK for logging computer vision and robotics data paired with a visualizer for exploring that data over time.,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2026-06-11 15:57:59,2026-06-11 15:16:34,9033.0,681.0,751.0,73.0,8263.0,1260.0,3143.0,10928.0,2026-05-29 12:16:36,0.33.0,266043.0,6651.0,77.0,301.0,301.0,165.0,36,True,1.0,"['mit', 'apache']",,
2,px4,PX4/PX4-Autopilot,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,https://github.com/PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,BSD-3-Clause,2012-08-04 21:19:36,2026-06-11 16:27:32,2026-06-11 08:32:46,50096.0,1125.0,14513.0,471.0,18985.0,989.0,7624.0,11929.0,2026-05-13 19:03:26,1.17.0,9672.0,81.0,100.0,,,1125.0,35,True,1.0,,,
3,open3d,isl-org/Open3D,libraries-frameworks,An open-source library that supports rapid development of software that deals with 3D data.,https://github.com/isl-org/Open3D,https://github.com/isl-org/Open3D,,2016-12-02 16:40:38,2026-06-10 05:22:45,2026-06-10 05:22:41,4243.0,13.0,2483.0,200.0,2879.0,1304.0,2802.0,13681.0,2025-01-08 07:31:27,0.19.0,770612.0,7706.0,23.0,15130.0,15130.0,281.0,34,False,1.0,"['cpp', 'python', 'mit']",,
4,lerobot,huggingface/lerobot,libraries-frameworks,"Developed by Hugging Face, LeRobot provides models, datasets and tools for real-world robotics in PyTorch.",https://github.com/huggingface/lerobot,https://github.com/huggingface/lerobot,Apache-2.0,2024-01-26 15:50:41,2026-06-11 19:03:12,2026-06-11 17:13:14,1488.0,159.0,4502.0,159.0,2449.0,381.0,936.0,24904.0,2026-04-07 14:57:52,0.5.1,1046.0,104.0,9.0,312.0,312.0,219.0,33,True,1.0,"['python', 'apache']",4.0,
5,ardupilot,ArduPilot/ardupilot,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot,GPL-3.0,2013-01-09 00:58:52,2026-06-11 08:34:21,2026-06-11 08:34:20,72413.0,1164.0,19968.0,680.0,25736.0,1649.0,6010.0,15263.0,2025-11-20 05:47:48,Plane-4.6.3,,,86.0,,,1316.0,32,True,3.0,,,
6,dora,dora-rs/dora,middleware,Middleware designed to streamline and simplify the creation of AI-based robotic applications.,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2026-06-10 23:46:26,2026-06-10 23:17:28,5106.0,486.0,402.0,53.0,1520.0,12.0,466.0,3774.0,2026-03-25 18:24:38,0.5.0,8071.0,187.0,70.0,62.0,62.0,104.0,30,True,1.0,['apache'],,
7,airsim,microsoft/AirSim,simulators,"A simulator for drones, cars and more, built on Unreal Engine and made by Microsoft.",https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,,2017-02-14 00:52:29,2026-03-15 23:17:10,2026-03-15 23:17:09,3562.0,1.0,4537.0,572.0,914.0,681.0,2729.0,18233.0,2022-07-18 20:11:48,1.8.1,697785.0,6645.0,30.0,444.0,444.0,247.0,29,False,2.0,['mit'],,
8,pinocchio,stack-of-tasks/pinocchio,libraries-frameworks,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,https://github.com/stack-of-tasks/pinocchio,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-06-10 13:49:41,2026-06-10 13:49:40,13108.0,397.0,505.0,67.0,1449.0,92.0,1099.0,3449.0,2026-04-13 12:17:49,4.0.0,110578.0,825.0,90.0,,,119.0,29,True,2.0,['cpp'],,
9,open-mct,nasa/openmct,gui-tools,Open MCT (Open Mission Control Technologies) is a next-generation mission control framework for visualization of data..,https://github.com/nasa/openmct,https://github.com/nasa/openmct,,2015-06-02 18:40:28,2026-06-11 17:43:21,2026-05-28 21:49:27,8113.0,13.0,1402.0,273.0,4236.0,915.0,2971.0,12997.0,2025-02-04 21:39:34,4.1.0,829.0,6.0,66.0,179.0,179.0,107.0,28,False,1.0,['apache'],,
