,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
0,mujoco,google-deepmind/mujoco,simulators,"Multi-Joint dynamics with Contact (MuJoCo) is a physics engine for fast, accurate robot simulation and optimization.",https://github.com/google-deepmind/mujoco,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-04-30 15:41:52,2026-04-30 15:41:01,4592.0,554.0,1466.0,125.0,533.0,153.0,1688.0,13301.0,2026-04-24 23:03:38,3.8.0,990079.0,18334.0,47.0,5356.0,5356.0,113.0,38,True,1.0,,,
1,rerun,rerun-io/rerun,libraries-frameworks,An SDK for logging computer vision and robotics data paired with a visualizer for exploring that data over time.,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2026-04-30 16:26:07,2026-04-30 15:49:19,8706.0,841.0,707.0,71.0,8230.0,1308.0,3062.0,10606.0,2026-04-29 08:22:42,0.31.4,256587.0,6752.0,73.0,289.0,289.0,159.0,36,True,1.0,"['mit', 'apache']",,
2,open3d,isl-org/Open3D,libraries-frameworks,An open-source library that supports rapid development of software that deals with 3D data.,https://github.com/isl-org/Open3D,https://github.com/isl-org/Open3D,,2016-12-02 16:40:38,2026-04-28 08:28:12,2026-03-31 20:52:46,4231.0,11.0,2462.0,200.0,2864.0,1294.0,2800.0,13543.0,2025-01-08 07:31:27,0.19.0,764824.0,7804.0,23.0,15021.0,15021.0,279.0,34,False,1.0,"['cpp', 'python', 'mit']",,
3,px4,PX4/PX4-Autopilot,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,https://github.com/PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,BSD-3-Clause,2012-08-04 21:19:36,2026-04-30 17:03:53,2026-04-30 08:50:07,49693.0,1226.0,14354.0,469.0,18652.0,991.0,7572.0,11623.0,2026-04-22 14:13:56,1.16.2,10441.0,89.0,100.0,,,1093.0,34,True,1.0,,-1.0,
4,lerobot,huggingface/lerobot,libraries-frameworks,"Developed by Hugging Face, LeRobot provides models, datasets and tools for real-world robotics in PyTorch.",https://github.com/huggingface/lerobot,https://github.com/huggingface/lerobot,Apache-2.0,2024-01-26 15:50:41,2026-04-30 17:55:01,2026-04-30 11:21:17,1426.0,187.0,4160.0,151.0,2235.0,335.0,909.0,23681.0,2026-04-07 14:57:52,0.5.1,882.0,110.0,9.0,270.0,270.0,211.0,33,True,1.0,"['python', 'apache']",4.0,
5,ardupilot,ArduPilot/ardupilot,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",https://github.com/ArduPilot/ardupilot,https://github.com/ArduPilot/ardupilot,GPL-3.0,2013-01-09 00:58:52,2026-04-30 09:52:50,2026-04-30 09:52:50,71887.0,1138.0,19804.0,675.0,25325.0,1646.0,5958.0,14982.0,2025-11-20 05:47:48,Plane-4.6.3,,,86.0,,,1301.0,33,True,3.0,,,
6,airsim,microsoft/AirSim,simulators,"A simulator for drones, cars and more, built on Unreal Engine and made by Microsoft.",https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,,2017-02-14 00:52:29,2026-03-15 23:17:10,2026-03-15 23:17:09,3562.0,1.0,4523.0,573.0,913.0,681.0,2729.0,18144.0,2022-07-18 20:11:48,1.8.1,690105.0,6700.0,30.0,441.0,441.0,244.0,30,False,2.0,['mit'],,
7,dora,dora-rs/dora,middleware,Middleware designed to streamline and simplify the creation of AI-based robotic applications.,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2026-04-29 19:37:33,2026-04-29 16:53:47,4936.0,515.0,381.0,56.0,1241.0,113.0,276.0,3730.0,2026-03-25 18:24:38,0.5.0,7590.0,185.0,70.0,58.0,58.0,97.0,30,True,1.0,['apache'],,
8,open-mct,nasa/openmct,gui-tools,Open MCT (Open Mission Control Technologies) is a next-generation mission control framework for visualization of data..,https://github.com/nasa/openmct,https://github.com/nasa/openmct,,2015-06-02 18:40:28,2026-04-28 22:50:05,2026-04-28 01:21:02,8109.0,17.0,1384.0,273.0,4217.0,911.0,2968.0,12937.0,2025-02-04 21:39:34,4.1.0,829.0,6.0,66.0,179.0,179.0,107.0,28,False,1.0,['apache'],,
9,webots,cyberbotics/webots,simulators,"Free and open source simulator that includes a large collection of robots, sensors, actuators and objects models.",https://github.com/cyberbotics/webots,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-04-29 23:31:47,2026-04-17 10:14:33,15745.0,15.0,1940.0,75.0,4699.0,230.0,1677.0,4322.0,2025-02-04 12:36:33,R2025a,1847890.0,20998.0,17.0,,,142.0,28,True,2.0,,,
