,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
79,xivo,ucla-vision/xivo,libraries-frameworks,A library for visual-inertial odometry and mapping.,https://github.com/ucla-vision/xivo,https://github.com/ucla-vision/xivo,,2019-08-19 19:28:44,2023-02-24 21:57:05,2023-02-24 21:56:56,647.0,,121.0,34.0,24.0,15.0,35.0,891.0,2021-03-30 17:17:10,icra2021,,,1.0,,,6.0,11,False,3.0,['cpp'],,
80,rpg-quadrotor-control,uzh-rpg/rpg_quadrotor_control,ros,A complete framework for flying quadrotors based on control algorithms developed by the Robotics and Perception Group..,https://github.com/uzh-rpg/rpg_quadrotor_control,https://github.com/uzh-rpg/rpg_quadrotor_control,,2017-12-15 16:51:51,2021-09-20 15:15:49,2021-02-25 12:50:09,237.0,,205.0,51.0,76.0,25.0,17.0,709.0,,,,,,,,12.0,11,False,3.0,['ros'],,
81,allan-variance-ros,ori-drs/allan_variance_ros,ros,ROS package which loads a rosbag of IMU data and computes Allan Variance parameters.,https://github.com/ori-drs/allan_variance_ros,https://github.com/ori-drs/allan_variance_ros,BSD-3-Clause,2021-11-12 15:11:18,2025-01-23 18:57:56,2025-01-23 18:57:56,57.0,,113.0,18.0,21.0,15.0,21.0,647.0,,,,,,,,8.0,11,False,3.0,['ros'],,
82,mars-rover,jakkra/Mars-Rover,open-source-robots,Curiosity/Perseverance inspired Rover with open source hardware and software.,https://github.com/jakkra/Mars-Rover,https://github.com/jakkra/Mars-Rover,MIT,2019-08-18 15:09:32,2022-10-29 09:09:22,2022-10-29 09:08:27,65.0,,105.0,37.0,2.0,7.0,20.0,579.0,,,,,,,,,11,False,3.0,"['cpp', 'mit']",,
83,bam,Rhoban/bam,actuators-sensors,A handy tool for characterizing actuator friction for better modeling for simulations.,https://github.com/Rhoban/bam,https://github.com/Rhoban/bam,Apache-2.0,2024-03-26 13:00:35,2026-04-27 13:50:55,2026-03-04 22:26:25,353.0,5.0,16.0,10.0,5.0,,,188.0,,,,,,,,8.0,11,True,1.0,['mit'],,
84,mushr,prl-mushr/mushr,open-source-robots,An open-source robotic hardware and software platform for learning and researching AI in autonomous vehicles and..,https://github.com/prl-mushr/mushr,https://github.com/prl-mushr/mushr,BSD-3-Clause,2019-07-02 18:03:04,2024-08-26 21:52:49,2022-02-10 18:19:32,278.0,,62.0,10.0,18.0,1.0,9.0,186.0,,,,,,,,13.0,11,False,3.0,['ros'],,
85,reachy,pollen-robotics/reachy,open-source-robots,A 7-DOF prosthesis robotic arm developed by Pollen Robotics.,https://github.com/pollen-robotics/reachy-2019,https://github.com/pollen-robotics/reachy-2019,,2019-07-23 13:02:02,2022-06-22 01:00:56,2021-06-14 09:30:57,309.0,,38.0,20.0,39.0,7.0,26.0,151.0,2021-03-23 11:20:48,1.4.0,74.0,1.0,11.0,,,9.0,11,False,3.0,,,pollen-robotics/reachy-2019
86,ahundt-awesome-robotics,ahundt/awesome-robotics,other,Awesome robotics list by ahundt.,https://github.com/ahundt/awesome-robotics,https://github.com/ahundt/awesome-robotics,,2017-05-12 01:58:27,2024-01-10 07:45:21,2023-03-19 14:06:51,102.0,,174.0,46.0,14.0,1.0,1.0,1378.0,,,,,,,,5.0,10,False,3.0,,,
87,continuum-robot-examples,JohnDTill/ContinuumRobotExamples,other,Continuum robots have elastic links which are capable of large-scale continuous deformations. This repo has example..,https://github.com/JohnDTill/ContinuumRobotExamples,https://github.com/JohnDTill/ContinuumRobotExamples,MIT,2018-12-12 17:31:23,2022-08-11 16:25:04,2022-08-11 16:25:04,55.0,,48.0,7.0,4.0,1.0,16.0,191.0,,,,,,,,3.0,10,False,3.0,['mit'],,
88,pointcloudprinter,marian42/pointcloudprinter,manufacturing,Prepare pointclouds from aerial LIDAR scans for 3D printing.,https://github.com/marian42/pointcloudprinter,https://github.com/marian42/pointcloudprinter,MIT,2018-07-01 20:48:06,2021-01-17 00:58:10,2021-01-17 00:55:35,40.0,,13.0,8.0,,,,163.0,2021-01-17 00:58:10,1.3,420.0,4.0,4.0,,,,10,False,3.0,['mit'],,
89,race-stack,ForzaETH/race_stack,ros,Full stack for F1TENTH autonomous scaled cars based on ROS 1.,https://github.com/ForzaETH/race_stack,https://github.com/ForzaETH/race_stack,MIT,2024-02-19 15:07:06,2026-05-06 11:14:34,2026-05-01 21:11:28,75.0,1.0,46.0,4.0,21.0,,15.0,161.0,,,,,,,,13.0,10,True,3.0,"['ros', 'mit']",,
90,robotics-501,michiganrobotics/rob501,education,"ROB 501: Mathematics for Robotics, a graduate-level course at the University of Michigan that introduces applied..",https://github.com/michiganrobotics/rob501,https://github.com/michiganrobotics/rob501,GPL-3.0,2022-01-26 14:04:45,2022-03-21 15:33:13,2022-03-21 15:33:03,10.0,,218.0,28.0,1.0,,1.0,2245.0,,,,,,,,2.0,9,False,3.0,,,
