,name,github_id,category,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending
11,ardupilot,ArduPilot/ardupilot,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",,{},,,,,,,,,,,1375.0,3,False,1.0,,-30.0
12,px4,PX4/PX4-Autopilot,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,,{},,,,,,,,,,,1191.0,3,False,1.0,,-32.0
13,pythonrobotics,AtsushiSakai/PythonRobotics,education,Python sample codes for robotics algorithms.,,{},,,,,,,,,24.0,24.0,147.0,3,False,1.0,"['python', 'mit']",
14,kalman-and-bayesian-filters,rlabbe/Kalman-and-Bayesian-Filters-in-Python,education,"Kalman Filter book using Jupyter Notebook focusing on building intuition and experience, not formal proofs.",,{},,,,,,,,,23.0,23.0,110.0,3,False,1.0,['python'],
15,paparazzi,paparazzi/paparazzi,drones,Open-source drone hardware and software project encompassing autopilot systems and ground station software for..,,{},,,,,,,,,,,174.0,2,False,3.0,,
16,gtsam,borglab/gtsam,libraries-frameworks,"A BSD-licensed C++ library that implements sensor fusion for robotics and computer vision applications, including..",,{},,,,,,,,,,,335.0,2,False,2.0,['cpp'],
17,behaviortree-cpp,BehaviorTree/BehaviorTree.CPP,ros,Behavior Trees Library in C++.,,{},,,,,,,,,,,161.0,2,False,2.0,"['cpp', 'mit']",
18,plotjuggler,facontidavide/PlotJuggler,ros,"QT5 based application to display time series in plots, using an intuitive drag and drop interface.",,{},,,,,,,,,,,149.0,2,False,2.0,['ros'],
19,roslibjs,RobotWebTools/roslibjs,ros,A standard ROS JavaScript library.,,{},,,,,,,,,3.0,3.0,83.0,2,False,2.0,"['ros', 'javascript']",
20,machine-learning-course,instillai/machine-learning-course,education,Freely available Machine Learning course using Python developed by Machine Learning Mindset.,,{},,,,,,,,,23.0,23.0,10.0,2,False,3.0,['python'],
21,turtlebot,turtlebot/turtlebot,open-source-robots,"A popular, low-cost, personal robot kit with open-source software, created at Willow Garage.",,{},,,,,,,,,,,52.0,1,False,2.0,['ros'],
22,nasa-open-source-rover,nasa-jpl/open-source-rover,open-source-robots,"A build-it-yourself, 6-wheel rover based on the rovers on Mars.",,{},,,,,,,,,,,52.0,1,False,2.0,['apache'],
23,openbot,intel-isl/OpenBot,open-source-robots,$50 robot car that interfaces with smartphone for high level control.,,{},,,,,,,,,,,42.0,1,False,2.0,['mit'],
24,so-arm100,TheRobotStudio/SO-ARM100,open-source-robots,Open Source 3D printable low-cost robot arm for accessible end-to-end learning.,,{},,,,,,,,,,,39.0,1,False,2.0,['apache'],
25,ceres-solver,ceres-solver/ceres-solver,libraries-frameworks,"An open source C++ library for modeling and solving large, complicated optimization problems, used for bundle..",,{},,,,,,,,,,,122.0,1,False,2.0,['cpp'],
26,videoflow,videoflow/videoflow,libraries-frameworks,Python framework that facilitates the quick development of complex video analysis applications in a multiprocessing..,,{},,,,,,,,,6.0,6.0,15.0,1,False,2.0,"['python', 'mit']",
27,openpose,CMU-Perceptual-Computing-Lab/openpose,libraries-frameworks,"Real-time multi-person keypoint detection library for body, face, hands, and foot estimation.",,{},,,,,,,,,,,109.0,1,False,2.0,,
28,ompl,ompl/ompl,libraries-frameworks,OMPL consists of many state-of-the-art sampling-based motion planning algorithms.,,{},,,,,,,,,,,126.0,1,False,2.0,['cpp'],
29,pinocchio,stack-of-tasks/pinocchio,libraries-frameworks,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,{},,,,,,,,,,,125.0,1,False,2.0,['cpp'],
30,exotica,ipab-slmc/exotica,libraries-frameworks,"A general Optimisation Toolset for Robotics platforms, written in C++ with bindings for Python.",,{},,,,,,,,,,,23.0,1,False,2.0,"['cpp', 'python']",
31,crocoddyl,loco-3d/crocoddyl,libraries-frameworks,An optimal control library for robot control under contact sequence based on various efficient Differential Dynamic..,,{},,,,,,,,,,,63.0,1,False,2.0,['cpp'],
32,fields2cover,Fields2Cover/Fields2Cover,libraries-frameworks,A modular and extensible Coverage Path Planning library.,,{},,,,,,,,,,,28.0,1,False,2.0,['cpp'],
33,cartographer,googlecartographer/cartographer,libraries-frameworks,"2D and 3D SLAM library, supports multiple platforms and sensor configurations.",,{},,,,,,,,,,,57.0,1,False,2.0,"['cpp', 'apache']",
34,hector-slam,tu-darmstadt-ros-pkg/hector_slam,libraries-frameworks,Hector SLAM contains ROS packages related to performing SLAM in unstructured environments.,,{},,,,,,,,,,,28.0,1,False,2.0,['ros'],
35,slam-toolbox,SteveMacenski/slam_toolbox,libraries-frameworks,A ROS package for 2D lifelong mapping and localization in potentially massive maps.,,{},,,,,,,,,,,89.0,1,False,2.0,['ros'],
36,webots,cyberbotics/webots,simulators,"Free and open source simulator that includes a large collection of robots, sensors, actuators and objects models.",,{},,,,,,,,,,,147.0,1,False,3.0,,-27.0
37,pyrobosim,sea-bass/pyrobosim,simulators,ROS2 enabled 2D mobile robot simulator for behavior prototyping.,,{},,,,,,,,,9.0,9.0,20.0,1,False,3.0,['python'],
38,ros,ros2/ros2,middleware,The Robot Operating System (ROS) is a set of software libraries and tools that help you build robot applications.,,{},,,,,,,,,,,66.0,1,False,2.0,,
39,yarp,robotology/yarp,middleware,Yet Another Robot Platform middleware for robotics.,,{},,,,,,,,,,,119.0,1,False,2.0,,
40,copper,copper-project/copper-rs,middleware,Copper is a user-friendly runtime engine for creating fast and reliable robots - what a game engine is to games.,,{},,,,,,,,,,,36.0,1,False,2.0,['apache'],
41,astrobee,nasa/astrobee,ros,NASA Astrobee Robot Software.,,{},,,,,,,,,,,22.0,1,False,3.0,"['ros', 'apache']",
42,aerostack2,aerostack2/aerostack2,ros,Framework that helps developers design and build the control architecture of aerial robotic systems.,,{},,,,,,,,,,,25.0,1,False,3.0,"['ros', 'cpp']",
43,web-video-server,RobotWebTools/web_video_server,ros,HTTP Streaming of ROS Image Topics in Multiple Formats.,,{},,,,,,,,,,,30.0,1,False,3.0,['ros'],
44,wireviz,formatc1702/WireViz,electronics,"A tool for documenting cables, wiring harnesses and connector pinouts by describing them in YAML format.",,{},,,,,,,,,,,23.0,1,False,1.0,['gpl'],
45,ros-robotics-companies,vmayoral/ros-robotics-companies,other,A list of companies using ROS 1 or ROS 2.,,{},,,,,,,,,,,80.0,1,False,2.0,,
46,kiloreux-awesome-robotics,kiloreux/awesome-robotics,other,Awesome robotics list by kiloreux.,,{},,,,,,,,,,,34.0,1,False,2.0,,
47,jslee02-awesome-robotics-libraries,jslee02/awesome-robotics-libraries,other,Awesome robotics libraries list by jslee02.,,{},,,,,,,,,,,42.0,1,False,2.0,,
48,awesome-robotic-tooling,Ly0n/awesome-robotic-tooling,other,Awesome robotic tooling list.,,{},,,,,,,,,,,30.0,1,False,2.0,,
49,awesome-llm-robotics,GT-RIPL/Awesome-LLM-Robotics,other,Awesome LLM robotics list.,,{},,,,,,,,,,,73.0,1,False,2.0,,
50,sawppy-rover,Roger-random/Sawppy_Rover,open-source-robots,A 3D printed motorized model of Mars rovers Curiosity and Mars 2020 that can be built on $500 budget.,,{},,,,,,,,,,,10.0,0,False,,['mit'],
51,morph,roaldlemmens/morph,open-source-robots,An affordable modular differential drive platform for open robotics development for hackers.,,{},,,,,,,,,,,,0,False,,['gpl'],
52,linorobot,linorobot/linorobot,open-source-robots,"ROS Compatible ground robots (2WD, 4WD, Ackermann Steering, Mecanum Drive).",,{},,,,,,,,,,,5.0,0,False,,['ros'],
53,mushr,prl-mushr/mushr,open-source-robots,An open-source robotic hardware and software platform for learning and researching AI in autonomous vehicles and..,,{},,,,,,,,,,,13.0,0,False,,['ros'],
54,scuttle,scuttlerobot/SCUTTLE,open-source-robots,Open source differential-drive robot designed to support teaching within Multidisciplinary Engineering Technology.,,{},,,,,,,,,,,12.0,0,False,,['mit'],
55,mars-rover,jakkra/Mars-Rover,open-source-robots,Curiosity/Perseverance inspired Rover with open source hardware and software.,,{},,,,,,,,,,,,0,False,,"['cpp', 'mit']",
56,openmower,ClemensElflein/OpenMower,open-source-robots,"An open-source, RTK-GPS enabled mower project.",,{},,,,,,,,,,,15.0,0,False,,,
57,makerspet-loki,makerspet/makerspet_loki,open-source-robots,A $100 open-source ROS2 home pet robot with 3D-printed design and micro-ROS on Arduino ESP32.,,{},,,,,,,,,,,4.0,0,False,,['apache'],
58,lekiwi,SIGRobotics-UIUC/LeKiwi,open-source-robots,Small omnidirectional robot with an SO-ARM100 attached to it.,,{},,,,,,,,,,,10.0,0,False,,['apache'],
59,dexter,HaddingtonDynamics/Dexter,open-source-robots,Open Source industrial robotics arm project.,,{},,,,,,,,,,,6.0,0,False,,['gpl'],
60,reachy,pollen-robotics/reachy,open-source-robots,A 7-DOF prosthesis robotic arm developed by Pollen Robotics.,,{},,,,,,,,,,,9.0,0,False,,,
61,openarm,,open-source-robots,"A bimanual manipulator setup with a BOM cost of around $6,500 and 7 DoF and 6kg payload per arm.",,,,,,,,,,,,,,0,False,,,
62,stanford-doggo,Nate711/StanfordDoggoProject,open-source-robots,Stanford Doggo is a highly agile robot designed to provide an accessible platform for legged robot research.,,{},,,,,,,,,,,3.0,0,False,,['mit'],
63,mjbots-quad-a0,mjbots/moteus,open-source-robots,"The mjbots quad A0 is a small dynamic quadruped, like the MIT mini-Cheetah, but fully open source.",,{},,,,,,,,,1.0,1.0,10.0,0,False,,['apache'],
64,stanford-quadruped,stanfordroboticsclub/StanfordQuadruped,open-source-robots,A low cost quadruped robot with the BoM coming to around $600-900 depending on components.,,{},,,,,,,,,,,3.0,0,False,,['mit'],
65,open-dynamic-robot-initiative,,open-source-robots,An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research.,,,,,,,,,,,,,,0,False,,,
66,open-duck-mini,apirrone/Open_Duck_Mini,open-source-robots,A miniaturized version of Disneys BDX droid.,,{},,,,,,,,,,,6.0,0,False,,['apache'],
67,poppy-humanoid,poppy-project/poppy-humanoid,open-source-robots,An open-source and 3D printed humanoid robot.,,{},,,,,,,,,,,11.0,0,False,,,
68,bam,Rhoban/bam,actuators-sensors,A handy tool for characterizing actuator friction for better modeling for simulations.,,{},,,,,,,,,,,9.0,0,False,,['mit'],
69,openmv,,actuators-sensors,"The OpenMV project creates low-cost, extensible, Python powered, machine vision modules - the Arduino of Machine Vision.",,,,,,,,,,,,,,0,False,,,
70,open-source-leg,,bionics,Open-source actuated leg prosthetics with a total cost of approx. $28.5k to produce.,,,,,,,,,,,,,,0,False,,,
71,soft-robotics-toolkit,,soft-robotics,"The Soft Robotics Toolkit is a collection of shared resources to support the design, fabrication, modeling,..",,,,,,,,,,,,,,0,False,,,
72,punyo,,soft-robotics,Soft Bubble Grippers for Robust and Perceptive Manipulation from Toyota Research Institute.,,,,,,,,,,,,,,0,False,,,
73,cycloidal-generator,mawildoer/cycloidal_generator,manufacturing,A cycloidal reduction drive generator script for Autodesk Fusion360.,,{},,,,,,,,,,,3.0,0,False,,,
74,pointcloudprinter,marian42/pointcloudprinter,manufacturing,Prepare pointclouds from aerial LIDAR scans for 3D printing.,,{},,,,,,,,,,,,0,False,,['mit'],
75,linuxcnc,,manufacturing,"Open Source software that can drive milling machines, lathes, 3d printers, laser cutters, plasma cutters, robot arms,..",,,,,,,,,,,,,,0,False,,,
76,freeloader,,manufacturing,"A low cost, desktop size, open source, universal testing machine, designed for inexpensive high-throughput material..",,,,,,,,,,,,,,0,False,,,
77,diy-cnc-machine,maxvfischer/DIY-CNC-machine,manufacturing,A very thorough DIY build of a CNC machine based on a Makita router with a very permissive licence.,,{},,,,,,,,,,,,0,False,,,
78,kitti-vision-benchmark,,datasets,"Vision benchmark captured in Karlsruhe, contains data from LiDAR, GPS and stereo cameras.",,,,,,,,,,,,,,0,False,,,
79,flir-thermal-dataset,,datasets,Synced annotated thermal imagery and non-annotated RGB imagery for reference for ADAS research. Contains over 14k..,,,,,,,,,,,,,,0,False,,,
80,nuscenes,,datasets,"Autonomous vehicle dataset that includes approximately 1.4M camera images, 390k LIDAR sweeps, 1.4M RADAR sweeps and..",,,,,,,,,,,,,,0,False,,,
81,uzh-fpv-drone-racing,,datasets,"Quadrotor racing dataset that contains information from event camera, RGB camera and groundtruth from Leica Nova MS60..",,,,,,,,,,,,,,0,False,,,
82,partnet,,datasets,"A consistent, large-scale dataset of 3D objects annotated with fine-grained, instance-level, and hierarchical 3D part..",,,,,,,,,,,,,,0,False,,,
83,utbm-robocar-dataset,,datasets,"A dataset containing a robotic car sensor data with 2 stereo cameras, 3 lidars, radar, GNSS receiver with RTK base..",,,,,,,,,,,,,,0,False,,,
84,urbanloco,weisongwen/UrbanLoco,datasets,Robotic car dataset providing sensor information as a ROS bag.,,{},,,,,,,,,,,4.0,0,False,,,
85,libre-dataset,,datasets,LiDAR Benchmark Reference dataset comparing 12 LiDAR models across various scenarios and conditions for self-driving..,,,,,,,,,,,,,,0,False,,,
86,ustc-flicar-dataset,,datasets,A heavy-duty VTOL dataset captured by a robotic bucket truck.,,,,,,,,,,,,,,0,False,,,
87,open-x-embodiment,,datasets,A large open-source real robot dataset with 1M+ real robot trajectories spanning 22 robot embodiments.,,,,,,,,,,,,,,0,False,,,
88,l2d-dataset,,datasets,A huge dataset captured by driving schools in Germany for autonomous driving research.,,,,,,,,,,,,,,0,False,,,
